ID,Name,Email,Group,Phone,ZIP,Country,State/Province,"Customer Since","Web Site","Last Logged In","Confirmed email","Account Created in","Billing Address","Shipping Address","Date of Birth","Tax VAT Number",Gender,"Street Address",City,Fax,"VAT Number",Company,"Billing Firstname","Billing Lastname",Action
1,"Veronica Costello",roni_cost@example.com,1,"(555) 229-3326",49628-7978,US,Michigan,"Nov 19, 2015 10:08:43 AM",1,,,"Default Store View","6146 Honey Bluff Parkway Calder Michigan 49628-7978","6146 Honey Bluff Parkway Calder Michigan 49628-7978",,,0,"6146 Honey Bluff Parkway",Calder,,,,Veronica,Costello,
2,"cuong cuong",cuongtd@ytcvn.com,1,,,,,"Jan 4, 2016 08:38:05 AM",1,"Feb 4, 2016 08:55:38 AM",,English,,"Ha Noi Ha Noi District of Columbia 1234567",,,,,,,,,,,
3,"trong tam",tamdt@smartaddons.com,1,,,,,"Feb 26, 2016 22:03:52 PM",1,"Feb 26, 2016 22:45:04 PM",,English,,,,,,,,,,,,,
4,"tester tester",tamdt1@smartaddons.com,1,,,,,"Mar 7, 2016 21:45:36 PM",1,"Mar 7, 2016 23:44:28 PM",,English,,,,,,,,,,,,,
5,"test11 test11",tamdt11@smartaddons.com,1,,,,,"Mar 29, 2016 23:18:49 PM",1,"Mar 29, 2016 23:27:40 PM",,Belgium,,,,,,,,,,,,,
6,"nguyen hoa",admin@gmail.com,1,3242423,92126,KH,,"Apr 5, 2016 04:59:12 AM",1,,,English,"khdfjkhkj khkjhkj 92126","khdfjkhkj khkjhkj 92126",,,,khdfjkhkj,khkjhkj,,,,nguyen,hoa,
7,"nguye hoa",admin12@gmail.com,1,,,,,"Apr 5, 2016 05:02:02 AM",1,"May 26, 2016 02:17:18 AM",,English,,,,,,,,,,,,,
8,"nguyen h",phuong@gmail.com,1,,,,,"Apr 5, 2016 06:51:22 AM",1,"Apr 5, 2016 08:49:29 AM",,English,,,,,,,,,,,,,
9,"tester tester",tester@gmail.com,1,,,,,"Apr 6, 2016 21:36:02 PM",1,"Apr 7, 2016 23:10:22 PM",,English,,,,,,,,,,,,,
10,"nguyen ngan",ngan@gmail.com,1,,,,,"May 6, 2016 16:49:03 PM",1,"May 27, 2016 04:20:14 AM",,English,,,,,,,,,,,,,
11,"Test Account",test@gmail.com,1,,,,,"May 12, 2016 07:15:32 AM",1,"May 12, 2016 08:34:53 AM",,German,,,,,,,,,,,,,
12,"thanh hoa",hoa@gmail.com,1,,,,,"May 17, 2016 08:58:37 AM",1,"May 17, 2016 10:22:15 AM",,English,,"92 nguyen khanh toan ha noi 10000",,,,,,,,,,,
13,"Thang Hoa",hoaphan@gmail.com,1,,,,,"May 18, 2016 04:12:47 AM",1,"May 18, 2016 07:15:59 AM",,English,,,,,,,,,,,,,
14,"Tran Anh",trananh@gmail.com,1,,,,,"May 18, 2016 08:53:09 AM",1,"May 18, 2016 09:55:31 AM",,English,,,,,,,,,,,,,
15,"nguyen hoa",admin123@gmail.com,1,,,,,"May 20, 2016 07:50:56 AM",1,"May 20, 2016 07:54:28 AM",,English,,,,,,,,,,,,,
16,"nguyen hoa",nguyenhoa@gmail.com,1,,,,,"May 21, 2016 15:16:44 PM",1,"May 23, 2016 03:16:37 AM",,English,,"sdfsfd sdfsd 92126",,,,,,,,,,,
17,"admin admin",hoa12@gmail.com,1,,,,,"May 26, 2016 07:11:10 AM",1,"May 26, 2016 08:03:13 AM",,French,,,,,,,,,,,,,
18,"nguyen phuong",phuong123@gmail.com,1,,,,,"May 26, 2016 07:29:21 AM",1,"May 26, 2016 07:29:39 AM",,English,,,,,,,,,,,,,
19,"nguyen ho",nguyenhoa91@gmail.com,1,,,,,"May 26, 2016 14:43:33 PM",1,"May 26, 2016 15:59:00 PM",,English,,,,,,,,,,,,,
20,"nguyen hang",thuhang123@gmail.com,1,,,,,"May 27, 2016 01:41:40 AM",1,"May 27, 2016 01:47:07 AM",,English,,,,,,,,,,,,,
